TagID,Seq,Attribute,Name,ParentID,UUID
998752565,13,0,Dubstep,1,e43bf421-45cd-407a-9602-949e0e5c0848
3621394759,33,0,New Beat,1,d12d87c5-ce63-4266-8f1b-68835924d3c1
3210010963,22,0,Guilty,4,6869463b-5e4a-49f8-91f8-873b20672780
2280727809,14,0,Belgium,2,b8e09169-1e9a-4fc3-8b87-dad45bf8e98b
382831235,1,0,TAG YEAR,2,225528e9-4ac2-4915-a7bf-603bf074bb63
2916771763,13,0,African,2,fba1602d-c00d-4f65-bdbf-ad74210bd099
1018510990,23,0,Spacy,4,3d357a06-cb6c-428a-b41e-b166965bf4fd
3994197697,17,0,Indian,2,5df4b724-e5a1-4639-a5e1-d6e70455fe04
3507094404,23,0,Portugese,2,9f48b6e6-2f18-498b-b907-7cbe9edcf93b
711400757,21,0,Japan,2,0fd303c2-77c3-4fef-b50c-f02026f26734
989601273,3,0,Afrobeat,1,4bc64049-f5c9-4281-a9d5-c83ff61eb481
2548891265,37,0,Punk,1,8d4eb1ec-f477-4169-b6a6-0884c922fae0
1443665513,11,0,USA,2,b2ab1101-e4bd-4111-9720-a0c6ccac4b22
403715190,24,0,Nordics,2,8dec86a1-9c7b-4ba5-ac56-549ef7f8a2d1
162956340,1,0,Lisa & Ant Daytime,3,63aad4da-5b47-428b-ae15-9f2a8eece20a
3499937707,2,0,Lisa & Ant Nighttime,3,9c9e8213-df04-4a87-a71e-4214e2a3826f
2383308136,16,0,Industrial,4,270d675a-740e-4c9e-879a-d2ac5677ce15
4042435953,24,0,Synths,4,887caf43-d27c-4688-8f02-7f9eae4b3079
2054721049,25,0,Eastern Europe,2,3690890d-7d26-4643-97bc-7f1e515720e6
