feature,rf_importance,xgb_importance,avg_importance
mel_spec_std_84,0.0005004877446462834,0.007556696337732402,0.004028592041189343
mel_spec_mean_84,0.0003857683024582991,0.007631097666241906,0.0040084329843501024
mel_spec_std_2,0.0015361382911694616,0.006388539109717716,0.003962338700443589
mel_spec_std_107,0.00040257675920619783,0.007390039041638374,0.003896307900422286
mel_spec_mean_97,0.00013455897828096175,0.007599907503886657,0.003867233241083809
mel_spec_std_96,0.0003841383642207598,0.007253170987083154,0.0038186546756519566
mel_spec_std_47,0.0006652402967992446,0.00689483391629024,0.0037800371065447426
mel_spec_mean_29,0.0009020671989841869,0.006607664791359143,0.003754865995171665
mel_spec_mean_111,0.0008272322379098276,0.006669035308401693,0.0037481337731557606
mel_spec_mean_60,0.0007808884377373274,0.006599202222952788,0.003690045330345058
mel_spec_std_43,0.0006346488289598913,0.006725790148431604,0.0036802194886957477
mel_spec_mean_36,0.0006236233757548299,0.006698994473977523,0.0036613089248661765
mel_spec_mean_51,0.0006250768506387287,0.006680047054859725,0.003652561952749227
mel_spec_std_34,0.0004480061443969636,0.006852407389405099,0.0036502067669010314
mel_spec_mean_106,0.0005155916500660973,0.006765339523553848,0.003640465586809973
mel_spec_std_58,0.0005420382984235991,0.006618180989541791,0.003580109643982695
mel_spec_std_67,0.0007625953937686691,0.00638847880658101,0.0035755371001748395
mel_spec_std_40,0.000611188617384317,0.006530653473667123,0.00357092104552572
mel_spec_std_95,0.0005432354389147011,0.006573626729236407,0.003558431084075554
mel_spec_mean_43,0.0005356298873696969,0.006551123901524327,0.003543376894447012
mel_spec_std_70,0.00025500312045023937,0.006824977187947793,0.003539990154199016
mel_spec_std_86,0.0006923906012853919,0.006125704724002968,0.00340904766264418
mel_spec_mean_126,0.00018446744975692046,0.006537737864577634,0.0033611026571672776
mel_spec_mean_108,0.0004394632838218542,0.006213564933700995,0.003326514108761425
mel_spec_mean_49,0.00028667944831902505,0.006353087850253691,0.003319883649286358
mel_spec_mean_124,0.00037038891279375544,0.006241769709793682,0.0033060793112937186
mel_spec_std_99,0.0006809202198034899,0.005630870095708154,0.003155895157755822
mel_spec_mean_93,0.0003484067175298163,0.0058757716112516145,0.0031120891643907156
mel_spec_std_119,0.00047616524322895154,0.005665314785966819,0.003070740014597885
mel_spec_mean_75,0.00015892491875931986,0.005923174766146324,0.003041049842452822
mel_spec_mean_57,0.00046670712548909537,0.005562888458371162,0.0030147977919301287
mel_spec_mean_39,0.0005187501585146145,0.005503505553034219,0.0030111278557744168
mel_spec_std_111,0.0008245793602991883,0.00510575266724283,0.0029651660137710095
mel_spec_std_64,0.00048558402444070934,0.0054230577820404005,0.002954320903240555
mel_spec_std_66,0.0004892338994206298,0.005247007928449999,0.002868120913935314
mel_spec_mean_50,0.0005806361638755103,0.005151664245535027,0.0028661502047052684
mel_spec_mean_103,0.0002809973639296479,0.005392990837042982,0.002836994100486315
mel_spec_mean_63,0.000741670415763269,0.004907145291905512,0.0028244078538343905
mel_spec_mean_120,0.00011683026958530063,0.0054485893554308195,0.00278270981250806
mel_spec_std_71,0.00030284856637469604,0.005152645605531606,0.002727747085953151
mel_spec_std_62,0.00026221685193351214,0.005162960511039604,0.0027125886814865583
mel_spec_std_90,0.000773083268895754,0.004650095223703168,0.002711589246299461
mel_spec_mean_54,0.0002455724184806005,0.005161652934144844,0.002703612676312722
mel_spec_std_48,0.00023515311755481692,0.005171759519726038,0.0027034563186404273
mel_spec_mean_64,0.00047219150013568174,0.00488253039392558,0.0026773609470306307
mel_spec_mean_107,0.0005498496381602483,0.0048022236336361275,0.002676036635898188
mel_spec_std_114,0.0006077072576254683,0.004727770637890155,0.0026677389477578117
mel_spec_mean_112,0.0006595958659869604,0.004610282157293775,0.0026349390116403677
mel_spec_mean_68,0.00036557907828041556,0.00480062383311716,0.0025831014556987877
mel_spec_std_55,0.0009007618845400977,0.004177555653520606,0.0025391587690303517
mel_spec_mean_77,0.0003791461878465596,0.004630942320959134,0.002505044254402847
mel_spec_mean_110,0.0006852361707429277,0.0042824188501320104,0.0024838275104374693
mel_spec_mean_123,0.000128882018214979,0.004781668074429035,0.0024552750463220072
mel_spec_std_82,0.0003092286795370915,0.00458620171147314,0.0024477151955051156
mel_spec_mean_78,0.0003339263787614417,0.004487951645966281,0.002410939012363861
mel_spec_mean_41,0.00013543782095193685,0.004614501344886693,0.002374969582919315
mel_spec_std_92,0.00038669753673417227,0.004362152148546143,0.0023744248426401573
mel_spec_mean_119,0.0004702514716028319,0.004251687618141825,0.0023609695448723283
mel_spec_std_63,0.00012563303903622805,0.004587359662929719,0.0023564963509829736
mel_spec_std_36,0.00034640090471339504,0.004349070685830983,0.002347735795272189
mel_spec_std_73,0.0004537856031349206,0.0042061795565215025,0.0023299825798282115
mel_spec_mean_62,0.0003912218155409793,0.004216670735993169,0.002303946275767074
mel_spec_std_15,0.00033325539620884174,0.004245328759266572,0.002289292077737707
mel_spec_mean_44,0.0007951014720937971,0.003768010901033201,0.002281556186563499
mel_spec_std_54,0.00020198176318645243,0.004257114688781175,0.0022295482259838137
mel_spec_mean_74,0.00032552328375117596,0.004121830432929776,0.002223676858340476
